no	grade	subject	qtype	sentence	answers_json	level	tags
46	2	english	vocab_keypad	Can you turn () the volume and () to me?	["down","listen"]	medium	phrasal_verb,request
47	2	english	vocab_keypad	I need to give () smoking and () exercising more.	["up","start"]	hard	phrasal_verb,health
48	2	english	vocab_keypad	She is interested () science and () to learn more.	["in","wants"]	medium	idiom,interest
49	2	english	vocab_keypad	We must () attention in class and () notes.	["pay","take"]	medium	modal_verb,school
50	2	english	vocab_keypad	You should () a rest and () some water.	["take","drink"]	medium	modal_verb,health
51	2	english	vocab_keypad	I () my room every weekend and () it tidy.	["clean","keep"]	easy	present_simple,chore
52	2	english	vocab_keypad	He () a book now and () some tea.	["reads","drinks"]	easy	present_simple,activity
53	2	english	vocab_keypad	We () our teacher a question and () for help.	["asked","waited"]	easy	past_simple,school
54	2	english	vocab_keypad	She () a beautiful song and () everyone happy.	["sang","made"]	easy	past_simple,entertainment
55	2	english	vocab_keypad	They () basketball every day and () very well.	["play","practice"]	easy	present_simple,sports
56	2	english	vocab_keypad	I ran () my friend and () hello happily.	["into","said"]	medium	phrasal_verb,social
57	2	english	vocab_keypad	Please put () your coat and () it up.	["on","zip"]	medium	phrasal_verb,clothing
58	2	english	vocab_keypad	He is proud () his work and () it well.	["of","did"]	medium	idiom,emotion
59	2	english	vocab_keypad	We can () the problem easily and () it together.	["solve","discuss"]	medium	modal_verb,teamwork
60	2	english	vocab_keypad	You must () your promise and () on time.	["keep","arrive"]	medium	modal_verb,responsibility
61	2	english	vocab_keypad	I () a sandwich for lunch and () some juice.	["ate","drank"]	easy	past_simple,food
62	2	english	vocab_keypad	She () her new dress and () very pretty.	["wore","looked"]	easy	past_simple,clothing
63	2	english	vocab_keypad	We () a wonderful time and () many photos.	["had","took"]	easy	past_simple,entertainment
64	2	english	vocab_keypad	My brother () video games and () his homework later.	["plays","does"]	easy	present_simple,routine
65	2	english	vocab_keypad	I () milk every morning and () some fruit.	["drink","eat"]	easy	present_simple,routine
66	2	english	vocab_keypad	She will look () her notes and () for tomorrow.	["over","prepare"]	medium	phrasal_verb,study
67	2	english	vocab_keypad	I need to fill () this form and () it.	["out","submit"]	medium	phrasal_verb,task
68	2	english	vocab_keypad	He is afraid () dogs and () away from them.	["of","stays"]	medium	idiom,emotion
69	2	english	vocab_keypad	We should () our hands and () the table.	["wash","set"]	medium	modal_verb,hygiene
70	2	english	vocab_keypad	They can () English well and () it fluently.	["speak","write"]	medium	modal_verb,ability
71	2	english	vocab_keypad	I () to bed late and () very tired.	["went","felt"]	easy	past_simple,routine
72	2	english	vocab_keypad	She () her mother yesterday and () dinner together.	["helped","cooked"]	easy	past_simple,family
73	2	english	vocab_keypad	We () many photos and () them with friends.	["took","shared"]	easy	past_simple,social
74	2	english	vocab_keypad	He () the newspaper daily and () the news.	["reads","follows"]	easy	present_simple,routine
75	2	english	vocab_keypad	My sister () beautiful pictures and () them nicely.	["draws","colors"]	easy	present_simple,hobby
76	2	english	vocab_keypad	I need to wake () early and () my bus.	["up","catch"]	medium	phrasal_verb,routine
77	2	english	vocab_keypad	Please calm () and () a deep breath.	["down","take"]	medium	phrasal_verb,emotion
78	2	english	vocab_keypad	She is tired () working and () a break.	["of","needs"]	medium	idiom,emotion
79	2	english	vocab_keypad	We must () the rules and () them carefully.	["follow","read"]	medium	modal_verb,instruction
80	2	english	vocab_keypad	You should () sorry and () your mistake.	["say","fix"]	medium	modal_verb,apology
81	2	english	vocab_keypad	I () my homework early and () outside.	["finished","played"]	easy	past_simple,routine
82	2	english	vocab_keypad	She () a new phone and () it immediately.	["bought","used"]	easy	past_simple,shopping
83	2	english	vocab_keypad	We () our parents often and () them happily.	["visit","see"]	easy	present_simple,family
84	2	english	vocab_keypad	He () his favorite songs and () along loudly.	["plays","sings"]	easy	present_simple,hobby
85	2	english	vocab_keypad	They () to school by bus and () at eight.	["go","arrive"]	easy	present_simple,routine
86	2	english	vocab_keypad	I need to write () these notes and () them.	["down","review"]	medium	phrasal_verb,study
87	2	english	vocab_keypad	Please throw () the garbage and () the bag.	["away","tie"]	medium	phrasal_verb,chore
88	2	english	vocab_keypad	He is famous () his kindness and () people well.	["for","treats"]	medium	idiom,personality
89	2	english	vocab_keypad	We can () our goals and () them together.	["achieve","celebrate"]	medium	modal_verb,motivation
90	2	english	vocab_keypad	She must () her room and () her bed.	["tidy","make"]	medium	modal_verb,chore
91	2	english	vocab_keypad	I () a loud noise and () outside quickly.	["heard","ran"]	easy	past_simple,action
92	2	english	vocab_keypad	He () the door and () inside immediately.	["opened","went"]	easy	past_simple,action
93	2	english	vocab_keypad	We () happy today and () our success.	["feel","celebrate"]	easy	present_simple,emotion
94	2	english	vocab_keypad	She () books often and () them carefully.	["reads","chooses"]	easy	present_simple,hobby
95	2	english	vocab_keypad	My dad () to work early and () home late.	["goes","comes"]	easy	present_simple,routine
96	2	english	vocab_keypad	I will meet () with you and () about it.	["up","talk"]	medium	phrasal_verb,plan
97	2	english	vocab_keypad	Please hand () your papers and () for results.	["in","wait"]	medium	phrasal_verb,school
98	2	english	vocab_keypad	She is different () others and () uniquely.	["from","thinks"]	medium	idiom,personality
99	2	english	vocab_keypad	We should () the environment and () it clean.	["protect","keep"]	medium	modal_verb,responsibility
100	2	english	vocab_keypad	You can () on me and () me anytime.	["count","call"]	medium	modal_verb,support
101	2	english	vocab_keypad	I () my bike yesterday and () the park.	["rode","enjoyed"]	easy	past_simple,activity
102	2	english	vocab_keypad	She () a flower and () it home.	["picked","brought"]	easy	past_simple,action
103	2	english	vocab_keypad	We () pizza for dinner and () it delicious.	["ordered","found"]	easy	past_simple,food
104	2	english	vocab_keypad	He () his friend often and () with him.	["calls","talks"]	easy	present_simple,social
105	2	english	vocab_keypad	They () new words and () them carefully.	["write","memorize"]	easy	present_simple,study
106	2	english	vocab_keypad	I need to get () early and () ready.	["up","get"]	medium	phrasal_verb,routine
107	2	english	vocab_keypad	Please sit () here and () for me.	["down","wait"]	medium	phrasal_verb,instruction
108	2	english	vocab_keypad	He is angry () the news and () upset.	["about","feels"]	medium	idiom,emotion
109	2	english	vocab_keypad	We must () respect and () polite always.	["show","be"]	medium	modal_verb,manner
110	2	english	vocab_keypad	She should () vegetables daily and () healthy.	["eat","stay"]	medium	modal_verb,health
111	2	english	vocab_keypad	I () a strange dream and () scared.	["had","felt"]	easy	past_simple,experience
112	2	english	vocab_keypad	He () the bus yesterday and () late.	["missed","arrived"]	easy	past_simple,problem
113	2	english	vocab_keypad	We () our team play and () for them.	["watch","cheer"]	easy	present_simple,sports
114	2	english	vocab_keypad	She () her dog daily and () it exercise.	["walks","gives"]	easy	present_simple,pet
115	2	english	vocab_keypad	My mom () cookies for us and () them warm.	["bakes","serves"]	easy	present_simple,family
116	2	english	vocab_keypad	I will look () you and () you safe.	["after","keep"]	medium	phrasal_verb,care
117	2	english	vocab_keypad	Please pick () your toys and () them away.	["up","put"]	medium	phrasal_verb,chore
118	2	english	vocab_keypad	She is similar () her mom and () like her.	["to","looks"]	medium	idiom,comparison
119	2	english	vocab_keypad	We can () the answer and () it correctly.	["find","use"]	medium	modal_verb,study
120	2	english	vocab_keypad	You must () polite and () your manners.	["be","mind"]	medium	modal_verb,manner
121	2	english	vocab_keypad	I () my cousin yesterday and () together.	["visited","played"]	easy	past_simple,family
122	2	english	vocab_keypad	She () a movie and () some popcorn.	["watched","bought"]	easy	past_simple,entertainment
123	2	english	vocab_keypad	We () to the zoo and () many animals.	["went","saw"]	easy	past_simple,trip
124	2	english	vocab_keypad	He () sports after school and () very hard.	["plays","practices"]	easy	present_simple,sports
125	2	english	vocab_keypad	They () lunch together and () about school.	["eat","talk"]	easy	present_simple,routine
126	2	english	vocab_keypad	I need to make () my mind and () quickly.	["up","decide"]	hard	phrasal_verb,decision
127	2	english	vocab_keypad	Please cut () on sugar and () more water.	["down","drink"]	medium	phrasal_verb,health
128	2	english	vocab_keypad	He is busy () homework and () for tests.	["with","studying"]	medium	idiom,activity
129	2	english	vocab_keypad	We should () time wisely and () it well.	["use","manage"]	medium	modal_verb,advice
130	2	english	vocab_keypad	She can () the piano and () beautifully.	["play","sing"]	medium	modal_verb,ability
131	2	english	vocab_keypad	I () the window and () the breeze.	["opened","enjoyed"]	easy	past_simple,action
132	2	english	vocab_keypad	He () money at the mall and () clothes.	["spent","bought"]	easy	past_simple,shopping
133	2	english	vocab_keypad	We () friends at parties and () fun together.	["meet","have"]	easy	present_simple,social
134	2	english	vocab_keypad	She () her hair and () herself ready.	["brushes","makes"]	easy	present_simple,routine
135	2	english	vocab_keypad	My brother () comics and () them interesting.	["reads","finds"]	easy	present_simple,hobby
136	2	english	vocab_keypad	I will turn () the music and () loudly.	["up","sing"]	medium	phrasal_verb,entertainment
137	2	english	vocab_keypad	Please dress () warmly and () your scarf.	["up","wear"]	medium	phrasal_verb,clothing
138	2	english	vocab_keypad	She is ready () anything and () very brave.	["for","seems"]	medium	idiom,personality
139	2	english	vocab_keypad	We must () homework on time and () it.	["submit","complete"]	medium	modal_verb,responsibility
140	2	english	vocab_keypad	You should () your family and () them often.	["help","visit"]	medium	modal_verb,family
